"","coef","param","sort","mean","lb","ub","rhat"
"1012","b[9,2]","b[9,CO]",72,-0.125909559865746,-0.15190717382851,-0.0981759872706361,1.00001766158271
"62","b[10,2]","b[10,CO]",73,-0.0177155085670229,-0.043971058921848,0.00914093049554117,1.0009460774079
"112","b[11,2]","b[11,CO]",74,-0.0818895084646813,-0.108461297940303,-0.0550799506374157,1.00041332774347
"162","b[12,2]","b[12,CO]",75,-0.0533550774681986,-0.0794469937934135,-0.0270925234668515,0.999788552389287
"212","b[13,2]","b[13,CO]",76,-0.0768815099556905,-0.102121091060632,-0.0502475746380771,1.00087802344301
"262","b[14,2]","b[14,CO]",77,-0.0612373684349535,-0.0864368909933192,-0.0351749885604718,0.999830841407343
"312","b[15,2]","b[15,CO]",78,-0.051698062444679,-0.0773244080767678,-0.0250638302444767,1.00048441032212
"362","b[16,2]","b[16,CO]",79,-0.00517764550242606,-0.0308554660493649,0.0203987881559098,1.00183267644864
"412","b[17,2]","b[17,CO]",80,-0.0218947252910651,-0.0484634845157368,0.00527028493052397,1.00070678645778
"462","b[18,2]","b[18,CO]",81,-0.00894011655660106,-0.0367080361723984,0.0197735740079941,0.999830220094091
"512","b[19,2]","b[19,CO]",82,-0.0341947212978099,-0.0613808478795899,-0.00660020146443752,1.00008650170835
"612","b[20,2]","b[20,CO]",83,-0.0311759903209488,-0.0570505072452223,-0.00560610947161687,1.00120936281208
"662","b[21,2]","b[21,CO]",84,-0.0294229329385577,-0.0575526429047427,-0.000631969398003685,1.00223656122304
"23","b[1,3]","b[1,CT]",85,-0.0204176184103773,-0.0489586125057924,0.00819286295002207,0.999632193160439
"573","b[2,3]","b[2,CT]",86,-0.00694069862544748,-0.0349838667942301,0.0214042973214354,0.999976461998612
"723","b[3,3]","b[3,CT]",87,-0.0496761899049774,-0.0773681487660382,-0.021430461198906,0.999611294796433
"773","b[4,3]","b[4,CT]",88,-0.0494047127841176,-0.0767005206227033,-0.0218827534138073,0.999555651835521
"823","b[5,3]","b[5,CT]",89,-0.0423062893228427,-0.0703348398283148,-0.015134096017789,0.999886831875562
"873","b[6,3]","b[6,CT]",90,0.0702078192322887,0.0427785973211081,0.098722879719338,1.00126704734095
"923","b[7,3]","b[7,CT]",91,-0.160485893009417,-0.188345854033664,-0.133523860305877,0.999614993840351
"973","b[8,3]","b[8,CT]",92,-0.185954249171554,-0.213656307134562,-0.158450224665795,1.00056158715435
"1023","b[9,3]","b[9,CT]",93,-0.184152241892979,-0.212089541831014,-0.157238222132642,1.00077323007643
"73","b[10,3]","b[10,CT]",94,-0.192364813016883,-0.218832874368928,-0.16603927282157,1.00073157822002
"123","b[11,3]","b[11,CT]",95,-0.160745661210372,-0.186338256416388,-0.134977013240914,1.00015702820694
"173","b[12,3]","b[12,CT]",96,-0.122671923240363,-0.148485092708069,-0.0968288236859572,0.999998028665037
"223","b[13,3]","b[13,CT]",97,-0.106103697868216,-0.132158022478769,-0.0805232800525379,0.99964517481448
"273","b[14,3]","b[14,CT]",98,-0.15371863348381,-0.179432603053846,-0.127776333928161,1.00013968563871
"323","b[15,3]","b[15,CT]",99,-0.171249981171189,-0.198065590296767,-0.144977892765437,0.999768981891609
"373","b[16,3]","b[16,CT]",100,-0.116163405882718,-0.144524413190235,-0.0890067394027374,1.00108852167868
"423","b[17,3]","b[17,CT]",101,-0.113970492963978,-0.140536337248253,-0.0870747200806161,0.999937982019379
"473","b[18,3]","b[18,CT]",102,-0.114153259433167,-0.142606905712756,-0.0856613325060502,0.999887285517312
"523","b[19,3]","b[19,CT]",103,-0.125408798207265,-0.154481173318101,-0.097729228244047,1.00002633373546
"623","b[20,3]","b[20,CT]",104,-0.151550483127019,-0.176125565589006,-0.126725493658368,1.00110626710113
"673","b[21,3]","b[21,CT]",105,-0.115554786350674,-0.145122691260228,-0.0864148980536513,1.00036932763317
"34","b[1,4]","b[1,DE]",106,-0.0990232236418324,-0.127287483382892,-0.0688423073059875,0.999730881330262
"584","b[2,4]","b[2,DE]",107,0.180520129196984,0.152486786403462,0.208130127919759,1.00010140641994
"734","b[3,4]","b[3,DE]",108,0.120298662162744,0.0937589183924167,0.147103151424489,1.0014001120938
"784","b[4,4]","b[4,DE]",109,0.134094186552533,0.108235790638456,0.160560792490525,1.00017301512878
"834","b[5,4]","b[5,DE]",110,0.202176442921577,0.174971496757791,0.23023684475265,0.999652939266086
"884","b[6,4]","b[6,DE]",111,0.12953127943057,0.101486978260682,0.157391740541463,1.00046613972402
"934","b[7,4]","b[7,DE]",112,0.170271042384701,0.143247257962525,0.196909128981166,0.999896441063345
"984","b[8,4]","b[8,DE]",113,0.214506243540847,0.188200250058911,0.242172959460483,1.00005181684875
"1034","b[9,4]","b[9,DE]",114,0.178535459794757,0.150978578997117,0.205494501739412,1.00023927974534
"84","b[10,4]","b[10,DE]",115,0.185246103701712,0.158419921385388,0.210562104183116,1.00016437704416
"134","b[11,4]","b[11,DE]",116,0.18219002645752,0.157064820925075,0.208035257822175,1.00021763564507
"184","b[12,4]","b[12,DE]",117,0.198793466139105,0.172189498909433,0.225406783849893,1.0017330720412
"234","b[13,4]","b[13,DE]",118,0.160112465574046,0.134639973599852,0.186110655958439,1.0004528397032
"284","b[14,4]","b[14,DE]",119,0.0548022730893447,0.0290481261366544,0.0816200573118057,0.999808415314438
"334","b[15,4]","b[15,DE]",120,0.108342905127618,0.0825557978365132,0.135168489796586,1.0011204697852
"384","b[16,4]","b[16,DE]",121,0.102985843352683,0.0776386490243026,0.129013921138803,1.00089499402327
"434","b[17,4]","b[17,DE]",122,0.113066348445696,0.0862020904565972,0.137740036368106,1.00153299696565
"484","b[18,4]","b[18,DE]",123,0.111553889727534,0.0841791953399735,0.13996524247596,1.00085904258107
"534","b[19,4]","b[19,DE]",124,0.0980615850098665,0.0695599900495365,0.125641027411945,1.00143041105256
"634","b[20,4]","b[20,DE]",125,0.0562389892514353,0.0311753619059352,0.0812406708042348,1.00109624786896
"684","b[21,4]","b[21,DE]",126,0.075026497337726,0.0457878371437345,0.104325887231805,1.00030033670538
"45","b[1,5]","b[1,HI]",127,0.0439000774330235,0.0146988683404059,0.0722955995899873,1.0007795550863
"595","b[2,5]","b[2,HI]",128,0.278861390930068,0.250524608755747,0.306477468177251,1.00060914820601
"745","b[3,5]","b[3,HI]",129,-0.0229033009216394,-0.0511450992171134,0.0040954179760396,1.00018908394636
"795","b[4,5]","b[4,HI]",130,0.205391332822235,0.178997008975832,0.232210898961192,1.00197543481946
"845","b[5,5]","b[5,HI]",131,0.0470607400672806,0.0202344825279292,0.0739190125559655,1.00065782832294
"895","b[6,5]","b[6,HI]",132,0.0362052321227336,0.00811882879607326,0.0631993407838538,1.00071746796284
"945","b[7,5]","b[7,HI]",133,0.105878641921744,0.079370218528777,0.132030385537302,1.00182190033213
"995","b[8,5]","b[8,HI]",134,0.137776423703276,0.111740423127118,0.165039321367612,1.00042017697676
"1045","b[9,5]","b[9,HI]",135,0.100872631224148,0.0742306487653632,0.126917093541372,1.00106439518692
"95","b[10,5]","b[10,HI]",136,0.118243258285128,0.091269130216869,0.145129319526617,0.999712844463331
"145","b[11,5]","b[11,HI]",137,0.0927533886735451,0.0662712263082816,0.120227494649057,1.00088575269339
"195","b[12,5]","b[12,HI]",138,0.0710911304888583,0.0442658263575314,0.0969430745546805,1.00033455373835
"245","b[13,5]","b[13,HI]",139,0.193623054745108,0.167413442728319,0.220226105092194,1.00121223583264
"295","b[14,5]","b[14,HI]",140,0.144603395699159,0.118282878768443,0.171094651672387,0.999808827437627
"345","b[15,5]","b[15,HI]",141,0.175220522459288,0.149383525155239,0.201543236699042,0.999586909392434
"395","b[16,5]","b[16,HI]",142,0.182392051348888,0.157570913605341,0.208987765063014,1.00001267994184
"445","b[17,5]","b[17,HI]",143,0.18404336197811,0.157230042199577,0.209612765187663,0.99983291935959
"495","b[18,5]","b[18,HI]",144,0.186904771813507,0.15896165802678,0.215673374526047,1.00041624722441
"545","b[19,5]","b[19,HI]",145,0.164955815030485,0.138073824392035,0.192037400166809,0.999917179536693
"645","b[20,5]","b[20,HI]",146,0.18062376288688,0.154365379409221,0.206256691646024,1.00029288030213
